Raw Info,Title
"2 people already contacted yesterday | Oshian Super City 5 | Residential land / Plot in Mohgaon, Nagpur | ",2 people already contacted yesterday
"Oshian Super City 5 | Residential land / Plot in Mohgaon, Nagpur | ₹21.36 - 80.75 Lac | ₹2,100 /sqft | 1,017",Oshian Super City 5
"₹21.36 - 80.75 Lac | ₹2,100 /sqft | 1,017-3,845 sqft | (94 - 357 sqm) | Plot Area | Plot/Land | Ready To Move",₹21.36 - 80.75 Lac
"₹21.36 - 80.75 Lac | ₹2,100 /sqft",₹21.36 - 80.75 Lac
₹21.36 - 80.75 Lac,₹21.36 - 80.75 Lac
"₹2,100 /sqft","₹2,100 /sqft"
"Om Satyam Garden | 3.6 | 2 BHK Flat in Zingabai Takli, Nagpur | · | RERA | ₹38 - 42.75 Lac | ₹3,800 /sqft | 1,000-",Om Satyam Garden
"₹38 - 42.75 Lac | ₹3,800 /sqft | 1,000-1,125 sqft | (93 - 105 sqm) | Super Built-up Area | 2 BHK | Under Constru",₹38 - 42.75 Lac
"₹38 - 42.75 Lac | ₹3,800 /sqft",₹38 - 42.75 Lac
₹38 - 42.75 Lac,₹38 - 42.75 Lac
"₹3,800 /sqft","₹3,800 /sqft"
"Partially Ready To Move · Completion in Dec, 2026 | 1/3 | Shiv Kailasa | 3.9 | 2, 3 BHK Apartment in Mihan, ","Partially Ready To Move · Completion in Dec, 2026"
₹ 45.9 - 82.31 L,₹ 45.9 - 82.31 L
₹ 21.36 - 80.75 L,₹ 21.36 - 80.75 L
₹ 66 L,₹ 66 L
₹ 22 - 35 L,₹ 22 - 35 L
"Under Construction · Completion in Dec, 2025 | 1/9 | Pankaj Gokul Greens | 2, 3 BHK Apartment in Friends C","Under Construction · Completion in Dec, 2025"
"New Launch · Completion in Sep, 2026 | 1/17 | Kalpataru Ardene | Land in Hingna, Nagpur | Land | ₹54 L - 1.59 ","New Launch · Completion in Sep, 2026"
"Under Construction · Completion in Mar, 2028 | 1/9 | Meher Ganga | 2, 3 BHK Apartment in Narendra Nagar, N","Under Construction · Completion in Mar, 2028"
"New Launch · Completion in Dec, 2027 | 1/18 | Kirtisagar Mauli Town 21 | Land in Wardha Road, Nagpur | Land | ","New Launch · Completion in Dec, 2027"
"Under Construction · Completion in Dec, 2027 | Urich Eden Park 2 | Land in Jamtha, Nagpur | Land | ₹27.84 L ","Under Construction · Completion in Dec, 2027"
"Under Construction · Completion in Sep, 2025 | 1/2 | Royal Heights | 2, 3 BHK Apartment in Friends Colony,","Under Construction · Completion in Sep, 2025"
"Under Construction · Completion in Dec, 2027 | 1/6 | Leverage Green Heights | 2, 3 BHK Apartment in Wardha","Under Construction · Completion in Dec, 2027"
"Under Construction · Completion in Dec, 2028 | 1/6 | Skyblue Oasis | 2, 3, 4 BHK Apartment in Manish Nagar","Under Construction · Completion in Dec, 2028"
"New Launch · Completion in Dec, 2028 | 1/14 | Trinity Towers | 2, 3 BHK Apartment in Nandanvan, Nagpur | 2 B","New Launch · Completion in Dec, 2028"
"New Launch · Completion in Apr, 2028 | 1/20 | Pyramid Amara | 2, 3 BHK Apartment in Besa, Nagpur | 2 BHK Apa","New Launch · Completion in Apr, 2028"
"New Launch · Completion in Mar, 2027 | 1/3 | Flamingo Residency | 1, 2, 3, 5 BHK Apartment in Koradi Road,","New Launch · Completion in Mar, 2027"
"Under Construction · Completion in Dec, 2027 | 1/18 | Radha Madhav Vrindavan Phase 3 | Land in Jamtha, Nag","Under Construction · Completion in Dec, 2027"
"New Launch · Completion in Dec, 2028 | 1/4 | Shakuntala Rachna Heights | 2, 3 BHK Apartment in Jaripatka, ","New Launch · Completion in Dec, 2028"
"New Launch · Completion in Dec, 2026 | 1/10 | Royal Dream City 2 | 2, 3 BHK Apartment in Manish Nagar, Nag","New Launch · Completion in Dec, 2026"
"Under Construction · Completion in Mar, 2028 | 1/4 | Pyramid Gloria | 2, 3 BHK Apartment in Besa, Nagpur | 2","Under Construction · Completion in Mar, 2028"
"Under Construction · Completion in Dec, 2026 | 1/8 | Jayanti Nagari 7 | 2, 3 BHK Apartment in Besa, Nagpur","Under Construction · Completion in Dec, 2026"
"Under Construction · Completion in Dec, 2025 | Maitri Marigold | 3 BHK Apartment in Manish Nagar, Nagpur","Under Construction · Completion in Dec, 2025"
"Under Construction · Completion in Jan, 2026 | 1/5 | Officers Enclave | 2, 3 BHK Apartment in Manish Nagar","Under Construction · Completion in Jan, 2026"
"Under Construction · Completion in Dec, 2027 | 1/6 | Varad Enclave | 2 BHK Apartment in Dabha, Nagpur | 2 BH","Under Construction · Completion in Dec, 2027"
"Under Construction · Completion in Dec, 2028 | 1/5 | Radha Madhav Vrindavan | 1, 2, 3, 4 BHK Apartment in ","Under Construction · Completion in Dec, 2028"
"New Launch · Completion in Mar, 2028 | 1/2 | Royal Empire | 2, 3 BHK Apartment in Manish Nagar, Nagpur | 2 B","New Launch · Completion in Mar, 2028"
"New Launch · Completion in Nov, 2028 | 1/4 | Nanis Vedant Aventurine | 2, 3 BHK Apartment in Jaitala, Nagp","New Launch · Completion in Nov, 2028"
"New Launch · Completion in Dec, 2027 | 1/4 | SDPL Aaranyam | 3 BHK Villa, Land in Lava, Nagpur | 3 BHK Villa","New Launch · Completion in Dec, 2027"
"New Launch · Completion in Mar, 2027 | 1/4 | Ayodhya Dham Nagari | Land in Dabha, Nagpur | Land | ₹30 L - 1.2 ","New Launch · Completion in Mar, 2027"
